"Light rum","Light rum"
"Applejack","Applejack"
"Gin","Gin"
"Dark rum","Dark rum"
"Sweet Vermouth","Sweet Vermouth"
"Strawberry schnapps","Strawberry schnapps"
"Scotch","Scotch"
"Apricot brandy","Apricot brandy"
"Triple sec","Triple sec"
"Southern Comfort","Southern Comfort"
"Orange bitters","Orange bitters"
"Brandy","Brandy"
"Lemon vodka","Lemon vodka"
"Blended whiskey","Blended whiskey"
"Dry Vermouth","Dry Vermouth"
"Amaretto","Amaretto"
"Tea","Tea"
"Champagne","Champagne"
"Coffee liqueur","Coffee liqueur"
"Bourbon","Bourbon"
"Tequila","Tequila"
"Vodka","Vodka"
"Añejo rum","Añejo rum"
"Bitters","Bitters"
"Sugar","Sugar"
"Kahlua","Kahlua"
"demerara Sugar","demerara Sugar"
"Dubonnet Rouge","Dubonnet Rouge"
"Lime juice","Lime juice"
"Irish whiskey","Irish whiskey"
"Apple brandy","Apple brandy"
"Carbonated water","Carbonated water"
"Cherry brandy","Cherry brandy"
"Creme de Cacao","Creme de Cacao"
"Grenadine","Grenadine"
"Port","Port"
"Coffee brandy","Coffee brandy"
"Red wine","Red wine"
"Rum","Rum"
"Grapefruit juice","Grapefruit juice"
"Ricard","Ricard"
"Sherry","Sherry"
"Cognac","Cognac"
"Sloe gin","Sloe gin"
"Apple juice","Apple juice"
"Pineapple juice","Pineapple juice"
"Lemon juice","Lemon juice"
"Sugar syrup","Sugar syrup"
"Milk","Milk"
"Strawberries","Strawberries"
"Chocolate syrup","Chocolate syrup"
"Yoghurt","Yoghurt"
"Mango","Mango"
"Ginger","Ginger"
"Lime","Lime"
"Cantaloupe","Cantaloupe"
"Berries","Berries"
"Grapes","Grapes"
"Kiwi","Kiwi"
"Tomato juice","Tomato juice"
"Cocoa powder","Cocoa powder"
"Chocolate","Chocolate"
"Heavy cream","Heavy cream"
"Galliano","Galliano"
"Peach Vodka","Peach Vodka"
"Ouzo","Ouzo"
"Coffee","Coffee"
"Spiced rum","Spiced rum"
"Water","Water"
"Espresso","Espresso"
"Angelica root","Angelica root"
"Orange","Orange"
"Cranberries","Cranberries"
"Johnnie Walker","Johnnie Walker"
"Apple cider","Apple cider"
"Everclear","Everclear"
"Cranberry juice","Cranberry juice"
"Egg yolk","Egg yolk"
"Egg","Egg"
"Grape juice","Grape juice"
"Peach nectar","Peach nectar"
"Lemon","Lemon"
"Firewater","Firewater"
"Lemonade","Lemonade"
"Lager","Lager"
"Whiskey","Whiskey"
"Absolut Citron","Absolut Citron"
"Pisco","Pisco"
"Irish cream","Irish cream"
"Ale","Ale"
"Chocolate liqueur","Chocolate liqueur"
"Midori melon liqueur","Midori melon liqueur"
"Sambuca","Sambuca"
"Cider","Cider"
"Sprite","Sprite"
"7-Up","7-Up"
"Blackberry brandy","Blackberry brandy"
"Peppermint schnapps","Peppermint schnapps"
"Creme de Cassis","Creme de Cassis"
"Jack Daniels","Jack Daniels"
